Insert into Booking Values ('B001', 'Yes', 'C001');
Insert into Booking Values ('B002', 'Yes', 'C002');
Insert into Booking Values ('B003', 'No', 'C023');
Insert into Booking Values ('B004', 'Yes', 'C004');
Insert into Booking Values ('B005', 'No', 'C005');
Insert into Booking Values ('B006', 'Yes', 'C010');
Insert into Booking Values ('B007', 'Yes', 'C007');
Insert into Booking Values ('B008', 'Yes', 'C008');
Insert into Booking Values ('B009', 'Yes', 'C009');
Insert into Booking Values ('B010', 'No', 'C010');
Insert into Booking Values ('B011', 'Yes', 'C003');
Insert into Booking Values ('B012', 'Yes', 'C019');
Insert into Booking Values ('B013', 'No', 'C011');
Insert into Booking Values ('B014', 'Yes', 'C025');
Insert into Booking Values ('B015', 'No', 'C005');
Insert into Booking Values ('B016', 'Yes', 'C010');
Insert into Booking Values ('B017', 'Yes', 'C007');
Insert into Booking Values ('B018', 'No', 'C018');
Insert into Booking Values ('B019', 'Yes', 'C009');
Insert into Booking Values ('B020', 'No', 'C015');
Insert into Booking Values ('B021', 'Yes', 'C029');
Insert into Booking Values ('B022', 'Yes', 'C012');
Insert into Booking Values ('B023', 'Yes', 'C003');
Insert into Booking Values ('B024', 'No', 'C024');
Insert into Booking Values ('B025', 'No', 'C021');
Insert into Booking Values ('B026', 'Yes', 'C006');
Insert into Booking Values ('B027', 'Yes', 'C007');
Insert into Booking Values ('B028', 'No', 'C030');
Insert into Booking Values ('B029', 'Yes', 'C001');
Insert into Booking Values ('B030', 'Yes', 'C018');
